text	label
COVID-19	S-Disease
COVID-19	S-Disease
COVID-19	S-Disease
malaria	S-Disease
HIV	S-Disease
gastrointestinal 	B-Disease
disorders 	I-Disease
chloroquine 	S-Chemical_Substance
lopinavir/ritonavir	S-Chemical_Substance
interferon	S-Chemical_Substance
chloroquine	S-Medication
lopinavir/ritonavir	S-Medication
interferon	S-Medication
inflammatory 	B-Disease
diseases	I-Disease
To	O
evaluate	O
the	O
prevalence	O
and	O
type	O
of	O
adverse	O
drug	O
reactions	O
ADRs	O
together	O
with	O
associated	O
risk	O
factors	O
among	O
Cuban	O
patients	O
treated	O
with	O
CQ	O
LPV	O
r	O
or	O
A	O
prospective	O
descriptive	O
analysis	O
of	O
ADRs	O
was	O
performed	O
on	O
200	O
patients	O
who	O
were	O
admitted	O
consecutively	O
to	O
three	O
hospitals	O
in	O
Havana	O
and	O
Pinar	O
del	O
Río	O
from	O
April	O
to	O
July	O
2020	O
Information	O
on	O
demographics	O
ADRs	O
outcomes	O
behavioral	O
and	O
health	O
related	O
factors	O
was	O
collected	O
using	O
a	O
validated	O
questionnaire	O
and	O
clinical	O
records	O
Each	O
potential	O
ADR	O
case	O
was	O
assessed	O
for	O
causality	O
based	O
on	O
the	O
WHO	O
UMC	O
algorithm	O
concomitant	O
drug	O
influences	O
and	O
the	O
presence	O
of	O
any	O
drug	O
drug	O
interactions	O
DDI	O
The	O
total	O
frequency	O
of	O
ADRs	O
was	O
55	O
with	O
predominantly	O
and	O
general	O
symptoms	O
23	O
vs	O
20	O
95	O
1	O
of	O
ADRs	O
occurred	O
within	O
10	O
days	O
after	O
treatment	O
and	O
42	O
potential	O
DDI	O
in	O
55	O
5	O
of	O
patients	O
61	O
110	O
were	O
observed	O
The	O
prevalence	O
of	O
ADRs	O
was	O
44	O
30	O
4	O
and	O
26	O
4	O
for	O
IFN	O
The	O
frequency	O
of	O
ADRs	O
and	O
potential	O
DDI	O
was	O
high	O
compared	O
to	O
their	O
use	O
during	O
nonpandemic	O
times	O
e	O
g	O
for	O
or	O
The	O
safety	O
profile	O
of	O
these	O
drugs	O
when	O
used	O
for	O
treatment	O
showed	O
similar	O
characteristics	O
Comorbidities	O
age	O
37	O
years	O
old	O
and	O
female	O
sex	O
were	O
associated	O
with	O
ADRs	O
Plasmodium 	B-Organism
parasites 	I-Organism
malaria 	S-Disease
erythrocytes 	S-Anatomical_Substances
erythrocytes 	S-Anatomical_Substances
endothelium 	S-Anatomical_Substances
endothelium 	S-Anatomical_Substances
