text	label
multi	O
drug	O
resistant	O
 P. falciparum	B-Organism
P. vivax	B-Organism
 P. malariae	B-Organism
 malaria	S-Disease
cytotoxicity	S-Chemical_Substance
drug	S-Chemical_Substance
artesunate	B-Chemical_Substance
3-Chloro-4(4-chlorophenoxy)	I-Chemical_Substance
aniline	E-Chemical_Substance
ATSA	S-Chemical_Substance
P	O
falciparum	O
activity	O
The	O
global	O
spread	O
of	O
and	O
strains	O
and	O
absence	O
of	O
long	O
term	O
effective	O
vaccine	O
makes	O
the	O
mainstay	O
of	O
control	O
strategies	O
in	O
endemic	O
settings	O
The	O
Mossman	O
s	O
assay	O
and	O
the	O
Organization	O
for	O
Economic	O
Co	O
operation	O
and	O
Development	O
OECD	O
2001	O
guideline	O
423	O
were	O
used	O
to	O
determine	O
the	O
and	O
using	O
3D	O
P. falciparum	B-Organism
in	O
vitro	O
and	O
in	O
vivo	O
respectively	O
A	O
modified	O
Desjardins	O
method	O
was	O
used	O
to	O
screen	O
for	O
of	O
a	O
novel	O
hybrid	O
multi	O
drug	O
resistan	O
chemotherapy	O
chemotherapy	O
malaria	O
 malaria	S-Disease
Since	O
2004	O
transmission	O
on	O
Bioko	O
Island	O
has	O
declined	O
significantly	O
as	O
a	O
result	O
of	O
the	O
scaling	O
up	O
of	O
control	O
interventions	O
The	O
aim	O
of	O
eliminating	O
from	O
the	O
Island	O
remains	O
elusive	O
however	O
underscoring	O
the	O
need	O
to	O
adapt	O
control	O
to	O
the	O
local	O
context	O
Understanding	O
the	O
factors	O
driving	O
the	O
risk	O
of	O
malaria 	B-Disease
 infection	I-Disease
is	O
critical	O
to	O
inform	O
optimal	O
suits	O
of	O
interventions	O
in	O
this	O
adaptive	O
approach	O
This	O
study	O
used	O
individual	O
and	O
household	O
level	O
data	O
from	O
the	O
2015	O
and	O
2018	O
annual	O
malaria	S-Disease
indicator	O
surveys	O
on	O
Bioko	O
Island	O
as	O
well	O
as	O
remotely	O
sensed	O
environmental	O
data	O
in	O
multilevel	O
logistic	O
regression	O
models	O
to	O
quantify	O
the	O
odds	O
of	O
malaria	B-Disease
infection	I-Disease
The	O
analyses	O
were	O
stratified	O
by	O
urban	O
and	O
rural	O
settings	O
and	O
by	O
survey	O
year	O
Malaria	S-Disease
prevalence	O
was	O
higher	O
in	O
10	O
14	O
year	O
old	O
children	O
and	O
similar	O
between	O
female	O
and	O
male	O
individuals	O
After	O
adjusting	O
for	O
demographic	O
factors	O
and	O
other	O
covariates	O
many	O
of	O
the	O
variables	O
investigated	O
showed	O
no	O
significant	O
association	O
with	O
